id,created_at,condominio_id,user_id,perfil_usuario,bloco_apto_usuario,agenda_ativa,cancelamento,capacidade,imagem,limite_de_acesso,local,preco_1,obs_preco_1,preco_2,obs_preco_2,preco_3,obs_preco_3,observacao,outro_local,regimento,tipo_de_agenda_txt,salva_auto,dia_da_semana,hora_inicial,minuto_inicial,tempo_agendamento,tipo_agenda
6,2025-06-21 15:24:57.900998-03,41,f40fc244-6f52-45f7-8efd-8c0da988ccab,108,66,true,100,48,https://83da634f6c0211d353014c2bf7aab9e3.cdn.bubble.io/f1744052228866x750168220060560600/salaodefestas.jpg,1000,Bloco A ou 1,50,,50,,150,,,Bloco A ou 1,https://83da634f6c0211d353014c2bf7aab9e3.cdn.bubble.io/f1731761794394x145704551803748960/Regimento%20MontSerratDOC-20240603-WA0093..pdf?_gl=1*1ba16fx*_gcl_au*MTc5MjY2NzU5Ny4xNzQzNDIzNjAw*_ga*MTQwNDEyMDcxNS4xNzQzNDIzNTkx*_ga_BFPVR2DEE2*czE3NTA1MDg1NTAkbzQwJGcxJHQxNzUwNTI5NzI3JGo0MyRsMCRoMA..,Salão de Festa,false,,,,,por_dia
5,2025-06-21 15:22:17.2899-03,41,f40fc244-6f52-45f7-8efd-8c0da988ccab,108,66,true,100,1000,https://s3.amazonaws.com/appforest_uf/f1648479291772x322109368403305400/obra.jpeg,1000,Obra,,,,,,,,,,Obra,false,,,,,por_dia
4,2025-06-21 15:21:19.99671-03,41,f40fc244-6f52-45f7-8efd-8c0da988ccab,108,66,true,100,1000,https://s3.amazonaws.com/appforest_uf/f1648151738151x583334299259511700/Mudan%C3%A7a.jpg,1000,Mudança,,,,,,,,,,Mudança,false,,,,,por_dia
